video_id,title,channel,published_at,category_id,view_count,like_count,comment_count
-4GmbBoYQjE,I Survived 100 Hours In An Ancient Temple,MrBeast,2025-05-10T16:00:01Z,24,29883658,1320076,40438
OjTNQNr7LA8,Trump Mother's Day Cold Open - SNL,Saturday Night Live,2025-05-11T04:18:21Z,23,942175,35368,2474
InxXnmZhjKQ,Outer Banks - First Impressions 🇺🇸,Peter Santenello,2025-05-10T15:00:24Z,19,570382,19566,2162
__Yrwoxz-4Y,I Faced My Biggest Fear! (Plastic Surgery),The Anazala Family ,2025-05-10T15:04:40Z,24,1910494,28508,5178
MUc5VUtpGl8,AMP MARIO KART IRL,AMP,2025-05-10T19:00:48Z,24,1017702,42383,2151
e5NMV4U790o,I Tested TOP YOUTUBER Products,HopeScope,2025-05-10T14:30:33Z,26,795530,26527,2190
wRnIkjQ0hzc,Coulda Been Records BALTIMORE Auditions hosted by Druski,Druski,2025-05-09T01:00:07Z,23,2726907,66575,10398
-QwXokuIZjM,Peacemaker Season 2 | Official Teaser | Max,Max,2025-05-09T16:05:08Z,24,2248546,107479,9020
40fSnMafDn4,NRL Match Highlights 2025 | Rabbitohs v Broncos | Round 10,NRL - National Rugby League,2025-05-09T12:01:39Z,17,219883,2603,426
zgSM_hTyru0,How I Became A Pro Bodybuilder,Will Tennyson,2025-05-09T14:37:29Z,22,1869298,150782,16109
wv_0b0C39xA,Top 10 NEW Costco Deals To Buy Right Now(May),Bobby Parrish,2025-05-10T14:01:27Z,26,226471,8535,615
cRm7MpDorEw,100 Ways to KILL DOEY with LEGO,Mr. Bricks,2025-05-10T10:45:07Z,22,340282,1950,489
fIIq4QjuiLY,"Miranda Lambert & Ella Langley perform ""Kerosene"" at the ACM Awards",Miranda Lambert,2025-05-10T05:23:02Z,10,474848,1699,182
gRCsc8bRvAM,How Big Can Hulk Get?,EYstreem,2025-05-10T02:00:40Z,20,666153,8929,1929
Xi6-XZvtQ6M,Cheap vs. Expensive Drift Truck,CboysTV,2025-05-09T01:00:33Z,22,2194274,68197,8069
tibdNnTmM5Y,"Taskmaster Season 19, Episode 2 - 'An invisible jump rope.' | Full Episode",Taskmaster,2025-05-09T20:00:06Z,23,625464,17460,2351
1CTcdjQ-9j8,Kocky Ka - Dark Nights (Remix) Feat Meek Mill & Fridayy (Official Music Video),Kocky Ka,2025-05-09T16:00:06Z,10,292275,19934,2275
4sftmD-G3II,How GTA 6 REALLY got their graphics that good,RDCworld1,2025-05-10T02:13:22Z,1,553095,68661,2036
CiDqNRdxTO0,Bowling Ball Vs 700kmh Helicopter Blades! Who Wins,How Ridiculous,2025-05-09T21:00:19Z,17,872446,28857,1661
Wfg-CF6dTHg,"John Cena Attacks Randy Orton's Family, Career | FULL SEGMENT | WWE SmackDown 5/9/25 | WWE on USA",WWE on USA,2025-05-10T03:08:55Z,17,593175,13728,3294
FSAz556s0fM,The Conjuring: Last Rites | Official Teaser,Warner Bros.,2025-05-08T16:00:19Z,1,16254006,268075,12385
68UdNKiljq4,TRAPPED in ABANDONED SCHOOL *Security Cameras*,Jordan Matter,2025-05-10T14:00:07Z,24,2823978,48159,8306
8P5VxMc1TOY,Trailblazer (Live From The 60th Academy of Country Music Awards),RebaMcEntireVEVO,2025-05-09T20:28:02Z,10,192843,5606,357
1DtRwUruDz8,Jarahn - Laif Blo Today (Audio) ft. Pettz,Jarahn,2025-04-29T14:51:48Z,10,102398,2063,285
qXOGP9pr-Ik,"Pope Leo XIV's brothers describe growing up with new pontiff, his path to papacy",CBS News,2025-05-09T21:17:14Z,25,512902,7644,918
odPghP1M7MU,LIVE: Robert Prevost named Pope Leo XIV,Associated Press,2025-05-08T19:42:59Z,25,2864920,19161,2007
pOlcRFwEmc0,The all-knowing lie detector | Chris & Jack,Chris and Jack,2025-05-09T13:01:27Z,23,516487,65751,1603
WC5hIGY8CPs,Fixing Ludwig’s Stolen Kei Truck,BigTime,2025-05-09T15:01:01Z,2,594123,35060,1733
196TRWZV1P4,I Added a Schizophrenia Mod Without Telling Him,Doni Bobes,2025-05-09T20:00:01Z,20,325815,14478,1358
mIjlmLYWMSM,Pope Leo XIV answers his brother's call during AP interview,Associated Press,2025-05-09T18:28:50Z,25,890105,16888,1282
